Date,Open,High,Low,Close,Adj Close,Volume
2024-01-07,43865.88671875,44360.93359375,43733.46484375,43854.89453125,43854.89453125,125072072
2024-01-08,43855.2578125,47003.5859375,43301.46875,46861.19921875,46861.19921875,278274604
2024-01-09,46860.33203125,47384.28515625,45544.26171875,46072.01953125,46072.01953125,571407393
2024-01-10,46070.0546875,47537.21484375,44609.62890625,46630.171875,46630.171875,689785390
2024-01-11,46634.9296875,48799.3671875,45830.3359375,46376.4296875,46376.4296875,527529085
2024-01-12,46374.140625,46375.4453125,41981.76953125,42841.05859375,42841.05859375,699377269
2024-01-13,42836.30078125,43145.19140625,42531.5703125,42887.33203125,42887.33203125,217685336
2024-01-14,42887.9765625,42967.62890625,41864.484375,41864.484375,41864.484375,213066795
2024-01-15,41852.0703125,43197.7578125,41828.06640625,42570.54296875,42570.54296875,148884583
2024-01-16,42561.1015625,43489.66796875,42312.1484375,43214.15625,43214.15625,176900484
2024-01-17,43212.6484375,43215.80859375,42322.484375,42651.8203125,42651.8203125,121116903
2024-01-18,42652.59765625,42770.3671875,40751.5859375,41234.3515625,41234.3515625,149504540
2024-01-19,41232.6640625,41982.9609375,40353.8046875,41621.12890625,41621.12890625,185945674
2024-01-20,41621.453125,41722.84375,41464.83203125,41641.6328125,41641.6328125,78059452
2024-01-21,41641.921875,41747.5625,41531.83984375,41538.59765625,41538.59765625,50540088
2024-01-22,41543.78125,41582.8515625,39545.40234375,39545.40234375,39545.40234375,242488557
2024-01-23,39545.81640625,40053.44921875,38520.484375,39695.3046875,39695.3046875,324601169
2024-01-24,39700.6328125,40150.5703125,39545.03515625,39994.5859375,39994.5859375,130849285
2024-01-25,39990.4921875,40140.23828125,39560.37890625,39844.4453125,39844.4453125,116275785
2024-01-26,39850.8046875,41992.83984375,39806.0703125,41817.8515625,41817.8515625,166669726
2024-01-27,41812.546875,42033.0078125,41457.29296875,42015.234375,42015.234375,81315161
2024-01-28,42015.47265625,42626.546875,41709.4921875,41876.0390625,41876.0390625,109190766
2024-01-29,41878.2265625,43146.953125,41801.91796875,43145.43359375,43145.43359375,172340339
2024-01-30,43143.77734375,43586.7421875,42862.27734375,42894.68359375,42894.68359375,166786539
2024-01-31,42901.19921875,43521.0859375,42350.09375,42502.30078125,42502.30078125,153764640
2024-02-01,42500.1875,43015.31640625,41903.43359375,42951.1484375,42951.1484375,130017115
2024-02-02,42950.94921875,43213.23046875,42671.8515625,43049.546875,43049.546875,94697060
2024-02-03,43049.83984375,43189.8984375,42882.2890625,42915.94921875,42915.94921875,48372337
2024-02-04,42915.609375,42968.703125,42459.0625,42510.5703125,42510.5703125,63664846
2024-02-05,42510.34765625,43304.859375,42310.296875,42547.54296875,42547.54296875,104130351
2024-02-06,42547.53125,43217.66015625,42509.99609375,43114.09765625,43114.09765625,141464214
2024-02-07,43114.16796875,44188.3125,42836.59765625,44175.15625,44175.15625,161895309
2024-02-08,44177.26953125,45335.55859375,44177.26953125,45234.203125,45234.203125,225626295
2024-02-09,45235.4765625,47857.28515625,45218.48828125,47142.59765625,47142.59765625,264105873
2024-02-10,47142.90625,47919.421875,46932.0625,47700.9921875,47700.9921875,98748845
2024-02-11,47699.34765625,48315.3046875,47619.125,48081.1171875,48081.1171875,196660650
2024-02-12,48084.87890625,50075.89453125,47772.55078125,49962.40625,49962.40625,245772367
2024-02-13,49965.09375,50145.47265625,48504.2265625,49604.06640625,49604.06640625,234556996
2024-02-14,49602.70703125,51787.60546875,49370.9140625,51763.2265625,51763.2265625,243591858
2024-02-15,51761.203125,52656.83203125,51443.30078125,51837.78515625,51837.78515625,293092711
2024-02-16,51834.31640625,52316.80859375,51629.4765625,52091.046875,52091.046875,225637598
2024-02-17,52092.30859375,52107.6328125,50768.8515625,51669.5703125,51669.5703125,92153757
2024-02-18,51669.3359375,52313.57421875,51319.0,52118.5703125,52118.5703125,233512323
2024-02-19,52123.90234375,52419.109375,51841.73046875,51875.8125,51875.8125,257821792
2024-02-20,51877.2578125,52789.8046875,51004.05859375,52313.2734375,52313.2734375,274979362
2024-02-21,52308.37109375,52347.21484375,50754.3671875,51740.48828125,51740.48828125,258684294
2024-02-22,51776.875,51905.33203125,51044.8515625,51328.76171875,51328.76171875,262202070
2024-02-23,51323.13671875,51429.296875,50696.24609375,50787.7734375,50787.7734375,151548814
2024-02-24,50787.97265625,51603.29296875,50622.94140625,51574.21484375,51574.21484375,119477975
2024-02-25,51574.91015625,51944.83203125,51450.6640625,51854.99609375,51854.99609375,214836848
2024-02-26,51852.28515625,54680.68359375,51019.203125,54497.640625,54497.640625,341803870
2024-02-27,54498.76953125,57197.34375,54485.14453125,56914.77734375,56914.77734375,437956522
2024-02-28,56915.94921875,63542.32421875,56770.9921875,62334.8125,62334.8125,838533659
2024-02-29,62333.56640625,63301.08984375,60719.54296875,61305.4921875,61305.4921875,697813822
2024-03-01,61250.20703125,62810.8984375,60971.79296875,62521.0390625,62521.0390625,306901727
2024-03-02,62515.15234375,62515.15234375,61797.65234375,61986.4296875,61986.4296875,162507076
2024-03-03,61979.58984375,63023.921875,61558.86328125,62989.41015625,62989.41015625,201448564
2024-03-04,62991.7578125,68098.9375,62991.7578125,68088.0390625,68088.0390625,593452539
